JUNCTION_ID;X_COORDINATE;Y_COORDINATE;Z_COORDINATE;Water Demand Base;Profile
J20;0;0;6.096;31.545097;DEM
J30;0;0;15.24;12.618039;DEM
J110;0;0;15.24;31.545097;DEM
J70;0;0;15.24;31.545097;DEM
J60;0;0;15.24;31.545097;DEM
J90;0;0;15.24;63.090194;DEM90
J100;0;0;15.24;31.545097;DEM
J40;0;0;15.24;12.618039;DEM
J50;0;0;15.24;12.618039;DEM
J80;0;0;15.24;31.545097;DEM
J150;0;0;36.576;12.618039;DEM
J140;0;0;24.384;12.618039;DEM
J170;0;0;36.576;12.618039;DEM170
J130;0;0;36.576;12.618039;DEM
J160;0;0;36.576;50.472156;DEM
J120;0;0;36.576;12.618039;DEM
J55;0;0;24.384;6.309019;DEM55
J75;0;0;24.384;6.309019;DEM
J115;0;0;24.384;6.309019;DEM
